League;Date;Get;Pay;Value;Confidence
Breach;2017-02-24;Silver Coin;Chaos Orb;0.19182;High
Breach;2017-02-25;Silver Coin;Chaos Orb;0.19147;High
Breach;2017-02-26;Silver Coin;Chaos Orb;0.1842;High
Breach;2017-02-27;Silver Coin;Chaos Orb;0.18909;High
Breach;2017-02-28;Silver Coin;Chaos Orb;0.22252;High
Breach;2016-12-02;Splinter of Esh;Chaos Orb;1.44444;Medium
Breach;2016-12-03;Splinter of Esh;Chaos Orb;0.30242;High
Breach;2016-12-04;Splinter of Esh;Chaos Orb;0.09305;High
Breach;2016-12-05;Splinter of Esh;Chaos Orb;0.09132;High
Breach;2016-12-06;Splinter of Esh;Chaos Orb;0.09859;High
Breach;2016-12-07;Splinter of Esh;Chaos Orb;0.08776;High
Breach;2016-12-08;Splinter of Esh;Chaos Orb;0.07512;High
Breach;2016-12-09;Splinter of Esh;Chaos Orb;0.07489;High
Breach;2016-12-10;Splinter of Esh;Chaos Orb;0.07092;High
Breach;2016-12-11;Splinter of Esh;Chaos Orb;0.0718;High
Breach;2016-12-12;Splinter of Esh;Chaos Orb;0.06924;High
Breach;2016-12-13;Splinter of Esh;Chaos Orb;0.07155;High
Breach;2016-12-14;Splinter of Esh;Chaos Orb;0.1;High
Breach;2016-12-15;Splinter of Esh;Chaos Orb;0.09919;High
Breach;2016-12-16;Splinter of Esh;Chaos Orb;0.09848;High
Breach;2016-12-17;Splinter of Esh;Chaos Orb;0.09895;High
Breach;2016-12-18;Splinter of Esh;Chaos Orb;0.09465;High
Breach;2016-12-19;Splinter of Esh;Chaos Orb;0.08457;High
Breach;2016-12-20;Splinter of Esh;Chaos Orb;0.08333;High
Breach;2016-12-21;Splinter of Esh;Chaos Orb;0.08055;High
Breach;2016-12-22;Splinter of Esh;Chaos Orb;0.07786;High
Breach;2016-12-23;Splinter of Esh;Chaos Orb;0.08032;High
Breach;2016-12-24;Splinter of Esh;Chaos Orb;0.08317;High
Breach;2016-12-25;Splinter of Esh;Chaos Orb;0.081;High
Breach;2016-12-26;Splinter of Esh;Chaos Orb;0.08728;High
Breach;2016-12-27;Splinter of Esh;Chaos Orb;0.08626;High
Breach;2016-12-28;Splinter of Esh;Chaos Orb;0.09089;High
Breach;2016-12-29;Splinter of Esh;Chaos Orb;0.09088;High
Breach;2016-12-30;Splinter of Esh;Chaos Orb;0.09091;High
Breach;2016-12-31;Splinter of Esh;Chaos Orb;0.09091;High
Breach;2017-01-01;Splinter of Esh;Chaos Orb;0.0909;High
Breach;2017-01-02;Splinter of Esh;Chaos Orb;0.08582;High
Breach;2017-01-03;Splinter of Esh;Chaos Orb;0.08199;High
Breach;2017-01-04;Splinter of Esh;Chaos Orb;0.08096;High
Breach;2017-01-05;Splinter of Esh;Chaos Orb;0.07717;High
Breach;2017-01-06;Splinter of Esh;Chaos Orb;0.07692;High
Breach;2017-01-07;Splinter of Esh;Chaos Orb;0.07692;High
Breach;2017-01-08;Splinter of Esh;Chaos Orb;0.07692;High
Breach;2017-01-09;Splinter of Esh;Chaos Orb;0.0754;High
Breach;2017-01-10;Splinter of Esh;Chaos Orb;0.07545;High
Breach;2017-01-11;Splinter of Esh;Chaos Orb;0.07522;High
Breach;2017-01-12;Splinter of Esh;Chaos Orb;0.07555;High
Breach;2017-01-13;Splinter of Esh;Chaos Orb;0.07692;High
Breach;2017-01-14;Splinter of Esh;Chaos Orb;0.07692;High
Breach;2017-01-15;Splinter of Esh;Chaos Orb;0.07301;High
Breach;2017-01-16;Splinter of Esh;Chaos Orb;0.07121;High
Breach;2017-01-17;Splinter of Esh;Chaos Orb;0.07176;High
Breach;2017-01-18;Splinter of Esh;Chaos Orb;0.07282;High
Breach;2017-01-19;Splinter of Esh;Chaos Orb;0.07169;High
Breach;2017-01-20;Splinter of Esh;Chaos Orb;0.07381;High
Breach;2017-01-21;Splinter of Esh;Chaos Orb;0.07526;High
Breach;2017-01-22;Splinter of Esh;Chaos Orb;0.07681;High
Breach;2017-01-23;Splinter of Esh;Chaos Orb;0.07458;High
Breach;2017-01-24;Splinter of Esh;Chaos Orb;0.07372;High
Breach;2017-01-25;Splinter of Esh;Chaos Orb;0.06896;High
Breach;2017-01-26;Splinter of Esh;Chaos Orb;0.06726;High
Breach;2017-01-27;Splinter of Esh;Chaos Orb;0.0679;High
Breach;2017-01-28;Splinter of Esh;Chaos Orb;0.0669;High
Breach;2017-01-29;Splinter of Esh;Chaos Orb;0.06716;High
Breach;2017-01-30;Splinter of Esh;Chaos Orb;0.07084;High
Breach;2017-01-31;Splinter of Esh;Chaos Orb;0.07132;High
Breach;2017-02-01;Splinter of Esh;Chaos Orb;0.07188;High
Breach;2017-02-02;Splinter of Esh;Chaos Orb;0.07108;High
Breach;2017-02-03;Splinter of Esh;Chaos Orb;0.07327;High
Breach;2017-02-04;Splinter of Esh;Chaos Orb;0.07316;High
Breach;2017-02-05;Splinter of Esh;Chaos Orb;0.07827;High
Breach;2017-02-06;Splinter of Esh;Chaos Orb;0.08395;High
Breach;2017-02-07;Splinter of Esh;Chaos Orb;0.09243;High
Breach;2017-02-08;Splinter of Esh;Chaos Orb;0.0924;High
Breach;2017-02-09;Splinter of Esh;Chaos Orb;0.09557;High
Breach;2017-02-10;Splinter of Esh;Chaos Orb;0.1;High
Breach;2017-02-11;Splinter of Esh;Chaos Orb;0.1;High
Breach;2017-02-12;Splinter of Esh;Chaos Orb;0.1;High
Breach;2017-02-13;Splinter of Esh;Chaos Orb;0.09674;High
Breach;2017-02-14;Splinter of Esh;Chaos Orb;0.09912;High
Breach;2017-02-15;Splinter of Esh;Chaos Orb;0.09991;High
Breach;2017-02-16;Splinter of Esh;Chaos Orb;0.09505;High
Breach;2017-02-17;Splinter of Esh;Chaos Orb;0.08512;High
Breach;2017-02-18;Splinter of Esh;Chaos Orb;0.08794;High
Breach;2017-02-19;Splinter of Esh;Chaos Orb;0.09218;High
Breach;2017-02-20;Splinter of Esh;Chaos Orb;0.09186;High
Breach;2017-02-21;Splinter of Esh;Chaos Orb;0.08684;High
Breach;2017-02-22;Splinter of Esh;Chaos Orb;0.08572;High
Breach;2017-02-23;Splinter of Esh;Chaos Orb;0.0871;High
Breach;2017-02-24;Splinter of Esh;Chaos Orb;0.08292;High
Breach;2017-02-25;Splinter of Esh;Chaos Orb;0.08753;High
Breach;2017-02-26;Splinter of Esh;Chaos Orb;0.09213;High
Breach;2017-02-27;Splinter of Esh;Chaos Orb;0.10043;High
Breach;2017-02-28;Splinter of Esh;Chaos Orb;0.19947;High
Breach;2016-12-02;Splinter of Xoph;Chaos Orb;0.91875;High
Breach;2016-12-03;Splinter of Xoph;Chaos Orb;0.25352;High
Breach;2016-12-04;Splinter of Xoph;Chaos Orb;0.08951;High
Breach;2016-12-05;Splinter of Xoph;Chaos Orb;0.10012;High
Breach;2016-12-06;Splinter of Xoph;Chaos Orb;0.10261;High
Breach;2016-12-07;Splinter of Xoph;Chaos Orb;0.09777;High
Breach;2016-12-08;Splinter of Xoph;Chaos Orb;0.09893;High
Breach;2016-12-09;Splinter of Xoph;Chaos Orb;0.10945;High
Breach;2016-12-10;Splinter of Xoph;Chaos Orb;0.09437;High
Breach;2016-12-11;Splinter of Xoph;Chaos Orb;0.08547;High
Breach;2016-12-12;Splinter of Xoph;Chaos Orb;0.0876;High
Breach;2016-12-13;Splinter of Xoph;Chaos Orb;0.09487;High
Breach;2016-12-14;Splinter of Xoph;Chaos Orb;0.10032;High
Breach;2016-12-15;Splinter of Xoph;Chaos Orb;0.11199;High
Breach;2016-12-16;Splinter of Xoph;Chaos Orb;0.1042;High
Breach;2016-12-17;Splinter of Xoph;Chaos Orb;0.14451;High
Breach;2016-12-18;Splinter of Xoph;Chaos Orb;0.17802;High
Breach;2016-12-19;Splinter of Xoph;Chaos Orb;0.15001;High
Breach;2016-12-20;Splinter of Xoph;Chaos Orb;0.14286;High
Breach;2016-12-21;Splinter of Xoph;Chaos Orb;0.14286;High
Breach;2016-12-22;Splinter of Xoph;Chaos Orb;0.13837;High
Breach;2016-12-23;Splinter of Xoph;Chaos Orb;0.12939;High
Breach;2016-12-24;Splinter of Xoph;Chaos Orb;0.12489;High
Breach;2016-12-25;Splinter of Xoph;Chaos Orb;0.11145;High
Breach;2016-12-26;Splinter of Xoph;Chaos Orb;0.13922;High
Breach;2016-12-27;Splinter of Xoph;Chaos Orb;0.14179;High
Breach;2016-12-28;Splinter of Xoph;Chaos Orb;0.12919;High
Breach;2016-12-29;Splinter of Xoph;Chaos Orb;0.11886;High
Breach;2016-12-30;Splinter of Xoph;Chaos Orb;0.12085;High
Breach;2016-12-31;Splinter of Xoph;Chaos Orb;0.1079;High
Breach;2017-01-01;Splinter of Xoph;Chaos Orb;0.10717;High
Breach;2017-01-02;Splinter of Xoph;Chaos Orb;0.0993;High
Breach;2017-01-03;Splinter of Xoph;Chaos Orb;0.09117;High
Breach;2017-01-04;Splinter of Xoph;Chaos Orb;0.09132;High
Breach;2017-01-05;Splinter of Xoph;Chaos Orb;0.08649;High
Breach;2017-01-06;Splinter of Xoph;Chaos Orb;0.09097;High
Breach;2017-01-07;Splinter of Xoph;Chaos Orb;0.08492;High
Breach;2017-01-08;Splinter of Xoph;Chaos Orb;0.08488;High
Breach;2017-01-09;Splinter of Xoph;Chaos Orb;0.08399;High
Breach;2017-01-10;Splinter of Xoph;Chaos Orb;0.08331;High
Breach;2017-01-11;Splinter of Xoph;Chaos Orb;0.07866;High
Breach;2017-01-12;Splinter of Xoph;Chaos Orb;0.07692;High
Breach;2017-01-13;Splinter of Xoph;Chaos Orb;0.0769;High
Breach;2017-01-14;Splinter of Xoph;Chaos Orb;0.07682;High
Breach;2017-01-15;Splinter of Xoph;Chaos Orb;0.07329;High
Breach;2017-01-16;Splinter of Xoph;Chaos Orb;0.06741;High
Breach;2017-01-17;Splinter of Xoph;Chaos Orb;0.06811;High
Breach;2017-01-18;Splinter of Xoph;Chaos Orb;0.06856;High
Breach;2017-01-19;Splinter of Xoph;Chaos Orb;0.06667;High
Breach;2017-01-20;Splinter of Xoph;Chaos Orb;0.06602;High
Breach;2017-01-21;Splinter of Xoph;Chaos Orb;0.06785;High
Breach;2017-01-22;Splinter of Xoph;Chaos Orb;0.06798;High
Breach;2017-01-23;Splinter of Xoph;Chaos Orb;0.06644;High
Breach;2017-01-24;Splinter of Xoph;Chaos Orb;0.06387;High
Breach;2017-01-25;Splinter of Xoph;Chaos Orb;0.06361;High
Breach;2017-01-26;Splinter of Xoph;Chaos Orb;0.0625;High
Breach;2017-01-27;Splinter of Xoph;Chaos Orb;0.0625;High
Breach;2017-01-28;Splinter of Xoph;Chaos Orb;0.06243;High
Breach;2017-01-29;Splinter of Xoph;Chaos Orb;0.06366;High
Breach;2017-01-30;Splinter of Xoph;Chaos Orb;0.06371;High
Breach;2017-01-31;Splinter of Xoph;Chaos Orb;0.06253;High
Breach;2017-02-01;Splinter of Xoph;Chaos Orb;0.06402;High
Breach;2017-02-02;Splinter of Xoph;Chaos Orb;0.06608;High
Breach;2017-02-03;Splinter of Xoph;Chaos Orb;0.06666;High
Breach;2017-02-04;Splinter of Xoph;Chaos Orb;0.06667;High
Breach;2017-02-05;Splinter of Xoph;Chaos Orb;0.06667;High
Breach;2017-02-06;Splinter of Xoph;Chaos Orb;0.06667;High
Breach;2017-02-07;Splinter of Xoph;Chaos Orb;0.07735;High
Breach;2017-02-08;Splinter of Xoph;Chaos Orb;0.07198;High
Breach;2017-02-09;Splinter of Xoph;Chaos Orb;0.07756;High
Breach;2017-02-10;Splinter of Xoph;Chaos Orb;0.09366;High
Breach;2017-02-11;Splinter of Xoph;Chaos Orb;0.1;High
Breach;2017-02-12;Splinter of Xoph;Chaos Orb;0.09836;High
Breach;2017-02-13;Splinter of Xoph;Chaos Orb;0.09981;High
Breach;2017-02-14;Splinter of Xoph;Chaos Orb;0.09959;High
Breach;2017-02-15;Splinter of Xoph;Chaos Orb;0.1;High
Breach;2017-02-16;Splinter of Xoph;Chaos Orb;0.09497;High
Breach;2017-02-17;Splinter of Xoph;Chaos Orb;0.08537;High
Breach;2017-02-18;Splinter of Xoph;Chaos Orb;0.09067;High
Breach;2017-02-19;Splinter of Xoph;Chaos Orb;0.09091;High
Breach;2017-02-20;Splinter of Xoph;Chaos Orb;0.09091;High
Breach;2017-02-21;Splinter of Xoph;Chaos Orb;0.09091;High
Breach;2017-02-22;Splinter of Xoph;Chaos Orb;0.09101;High
Breach;2017-02-23;Splinter of Xoph;Chaos Orb;0.09091;High
Breach;2017-02-24;Splinter of Xoph;Chaos Orb;0.09239;High
Breach;2017-02-25;Splinter of Xoph;Chaos Orb;0.08461;High
Breach;2017-02-26;Splinter of Xoph;Chaos Orb;0.09232;High
Breach;2017-02-27;Splinter of Xoph;Chaos Orb;0.094;High
Breach;2017-02-28;Splinter of Xoph;Chaos Orb;0.17091;High
Breach;2016-12-02;Armourer's Scrap;Chaos Orb;1;Low
Breach;2016-12-03;Armourer's Scrap;Chaos Orb;0.3539;High
Breach;2016-12-04;Armourer's Scrap;Chaos Orb;0.06641;High
Breach;2016-12-05;Armourer's Scrap;Chaos Orb;0.05464;High
Breach;2016-12-06;Armourer's Scrap;Chaos Orb;0.05323;High
Breach;2016-12-07;Armourer's Scrap;Chaos Orb;0.03104;High
Breach;2016-12-08;Armourer's Scrap;Chaos Orb;0.02891;High
Breach;2016-12-09;Armourer's Scrap;Chaos Orb;0.02846;High
Breach;2016-12-10;Armourer's Scrap;Chaos Orb;0.02715;High
Breach;2016-12-11;Armourer's Scrap;Chaos Orb;0.02567;High
Breach;2016-12-12;Armourer's Scrap;Chaos Orb;0.02488;High
Breach;2016-12-13;Armourer's Scrap;Chaos Orb;0.02233;High
Breach;2016-12-14;Armourer's Scrap;Chaos Orb;0.02;High
Breach;2016-12-15;Armourer's Scrap;Chaos Orb;0.02;High
Breach;2016-12-16;Armourer's Scrap;Chaos Orb;0.01982;High
Breach;2016-12-17;Armourer's Scrap;Chaos Orb;0.02;High
Breach;2016-12-18;Armourer's Scrap;Chaos Orb;0.01991;High
Breach;2016-12-19;Armourer's Scrap;Chaos Orb;0.01696;High
Breach;2016-12-20;Armourer's Scrap;Chaos Orb;0.01482;High
Breach;2016-12-21;Armourer's Scrap;Chaos Orb;0.01661;High
Breach;2016-12-22;Armourer's Scrap;Chaos Orb;0.01631;High
Breach;2016-12-23;Armourer's Scrap;Chaos Orb;0.01558;High
Breach;2016-12-24;Armourer's Scrap;Chaos Orb;0.01661;High
Breach;2016-12-25;Armourer's Scrap;Chaos Orb;0.01416;High
Breach;2016-12-26;Armourer's Scrap;Chaos Orb;0.01481;High
Breach;2016-12-27;Armourer's Scrap;Chaos Orb;0.01665;High
Breach;2016-12-28;Armourer's Scrap;Chaos Orb;0.01641;High
Breach;2016-12-29;Armourer's Scrap;Chaos Orb;0.01667;High
Breach;2016-12-30;Armourer's Scrap;Chaos Orb;0.01603;High
Breach;2016-12-31;Armourer's Scrap;Chaos Orb;0.01381;High
Breach;2017-01-01;Armourer's Scrap;Chaos Orb;0.01257;High
Breach;2017-01-02;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-01-03;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-01-04;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-01-05;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-01-06;Armourer's Scrap;Chaos Orb;0.01311;High
Breach;2017-01-07;Armourer's Scrap;Chaos Orb;0.01295;High
Breach;2017-01-08;Armourer's Scrap;Chaos Orb;0.01248;High
Breach;2017-01-09;Armourer's Scrap;Chaos Orb;0.01248;High
Breach;2017-01-10;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-01-11;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-01-12;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-01-13;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-01-14;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-01-15;Armourer's Scrap;Chaos Orb;0.01233;High
Breach;2017-01-16;Armourer's Scrap;Chaos Orb;0.01223;High
Breach;2017-01-17;Armourer's Scrap;Chaos Orb;0.01145;High
Breach;2017-01-18;Armourer's Scrap;Chaos Orb;0.01111;High
Breach;2017-01-19;Armourer's Scrap;Chaos Orb;0.01064;High
Breach;2017-01-20;Armourer's Scrap;Chaos Orb;0.01012;High
Breach;2017-01-21;Armourer's Scrap;Chaos Orb;0.01;High
Breach;2017-01-22;Armourer's Scrap;Chaos Orb;0.01;High
Breach;2017-01-23;Armourer's Scrap;Chaos Orb;0.01;High
Breach;2017-01-24;Armourer's Scrap;Chaos Orb;0.00997;High
Breach;2017-01-25;Armourer's Scrap;Chaos Orb;0.01111;High
Breach;2017-01-26;Armourer's Scrap;Chaos Orb;0.0107;High
Breach;2017-01-27;Armourer's Scrap;Chaos Orb;0.01078;High
Breach;2017-01-28;Armourer's Scrap;Chaos Orb;0.01017;High
Breach;2017-01-29;Armourer's Scrap;Chaos Orb;0.01009;High
Breach;2017-01-30;Armourer's Scrap;Chaos Orb;0.00986;High
Breach;2017-01-31;Armourer's Scrap;Chaos Orb;0.0104;High
Breach;2017-02-01;Armourer's Scrap;Chaos Orb;0.0104;High
Breach;2017-02-02;Armourer's Scrap;Chaos Orb;0.01014;High
Breach;2017-02-03;Armourer's Scrap;Chaos Orb;0.01122;High
Breach;2017-02-04;Armourer's Scrap;Chaos Orb;0.01137;High
Breach;2017-02-05;Armourer's Scrap;Chaos Orb;0.01097;High
Breach;2017-02-06;Armourer's Scrap;Chaos Orb;0.01085;High
Breach;2017-02-07;Armourer's Scrap;Chaos Orb;0.01057;High
Breach;2017-02-08;Armourer's Scrap;Chaos Orb;0.01051;High
Breach;2017-02-09;Armourer's Scrap;Chaos Orb;0.01159;High
Breach;2017-02-10;Armourer's Scrap;Chaos Orb;0.01121;High
Breach;2017-02-11;Armourer's Scrap;Chaos Orb;0.01203;High
Breach;2017-02-12;Armourer's Scrap;Chaos Orb;0.01404;High
Breach;2017-02-13;Armourer's Scrap;Chaos Orb;0.01243;High
Breach;2017-02-14;Armourer's Scrap;Chaos Orb;0.01249;High
Breach;2017-02-15;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-02-16;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-02-17;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-02-18;Armourer's Scrap;Chaos Orb;0.0125;High
Breach;2017-02-19;Armourer's Scrap;Chaos Orb;0.01246;High
Breach;2017-02-20;Armourer's Scrap;Chaos Orb;0.0124;High
Breach;2017-02-21;Armourer's Scrap;Chaos Orb;0.01247;High
Breach;2017-02-22;Armourer's Scrap;Chaos Orb;0.01158;High
Breach;2017-02-23;Armourer's Scrap;Chaos Orb;0.01119;High
Breach;2017-02-24;Armourer's Scrap;Chaos Orb;0.01138;High
Breach;2017-02-25;Armourer's Scrap;Chaos Orb;0.01078;High
Breach;2017-02-26;Armourer's Scrap;Chaos Orb;0.01061;High
Breach;2017-02-27;Armourer's Scrap;Chaos Orb;0.01179;High
Breach;2017-02-28;Armourer's Scrap;Chaos Orb;0.0207;Medium
Breach;2016-12-02;Orb of Alchemy;Chaos Orb;0.68571;Medium
Breach;2016-12-03;Orb of Alchemy;Chaos Orb;0.23652;High
Breach;2016-12-04;Orb of Alchemy;Chaos Orb;0.16667;High
Breach;2016-12-05;Orb of Alchemy;Chaos Orb;0.19363;High
Breach;2016-12-06;Orb of Alchemy;Chaos Orb;0.21778;High
Breach;2016-12-07;Orb of Alchemy;Chaos Orb;0.22417;High
Breach;2016-12-08;Orb of Alchemy;Chaos Orb;0.23853;High
Breach;2016-12-09;Orb of Alchemy;Chaos Orb;0.24013;High
Breach;2016-12-10;Orb of Alchemy;Chaos Orb;0.24346;High
Breach;2016-12-11;Orb of Alchemy;Chaos Orb;0.24761;High
Breach;2016-12-12;Orb of Alchemy;Chaos Orb;0.24206;High
Breach;2016-12-13;Orb of Alchemy;Chaos Orb;0.24183;High
Breach;2016-12-14;Orb of Alchemy;Chaos Orb;0.24317;High
Breach;2016-12-15;Orb of Alchemy;Chaos Orb;0.24989;High
Breach;2016-12-16;Orb of Alchemy;Chaos Orb;0.25662;High
Breach;2016-12-17;Orb of Alchemy;Chaos Orb;0.26857;High
Breach;2016-12-18;Orb of Alchemy;Chaos Orb;0.27821;High
Breach;2016-12-19;Orb of Alchemy;Chaos Orb;0.27794;High
Breach;2016-12-20;Orb of Alchemy;Chaos Orb;0.2791;High
Breach;2016-12-21;Orb of Alchemy;Chaos Orb;0.28124;High
Breach;2016-12-22;Orb of Alchemy;Chaos Orb;0.27293;High
Breach;2016-12-23;Orb of Alchemy;Chaos Orb;0.27778;High
Breach;2016-12-24;Orb of Alchemy;Chaos Orb;0.28452;High
Breach;2016-12-25;Orb of Alchemy;Chaos Orb;0.28571;High
Breach;2016-12-26;Orb of Alchemy;Chaos Orb;0.28276;High
Breach;2016-12-27;Orb of Alchemy;Chaos Orb;0.2847;High
Breach;2016-12-28;Orb of Alchemy;Chaos Orb;0.28331;High
Breach;2016-12-29;Orb of Alchemy;Chaos Orb;0.28571;High
Breach;2016-12-30;Orb of Alchemy;Chaos Orb;0.27894;High
Breach;2016-12-31;Orb of Alchemy;Chaos Orb;0.27778;High
Breach;2017-01-01;Orb of Alchemy;Chaos Orb;0.27778;High
Breach;2017-01-02;Orb of Alchemy;Chaos Orb;0.27693;High
Breach;2017-01-03;Orb of Alchemy;Chaos Orb;0.27218;High
Breach;2017-01-04;Orb of Alchemy;Chaos Orb;0.26814;High
Breach;2017-01-05;Orb of Alchemy;Chaos Orb;0.26316;High
Breach;2017-01-06;Orb of Alchemy;Chaos Orb;0.26316;High
Breach;2017-01-07;Orb of Alchemy;Chaos Orb;0.25841;High
Breach;2017-01-08;Orb of Alchemy;Chaos Orb;0.25;High
Breach;2017-01-09;Orb of Alchemy;Chaos Orb;0.25;High
Breach;2017-01-10;Orb of Alchemy;Chaos Orb;0.25;High
Breach;2017-01-11;Orb of Alchemy;Chaos Orb;0.24996;High
Breach;2017-01-12;Orb of Alchemy;Chaos Orb;0.25;High
